#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
116,台北市,文山區,仙岩路,0,,,,0,,,0,,0,,,全,180571,,0000000000
100,台北市,中正區,北平西路,0,,,,0,,,0,,0,,,全,184051,,0000000000
100,台北市,中正區,北平東路,0,,,,0,,,0,,0,,,全,184111,,0000000000
104,台北市,中山區,北安路,0,,,,0,,,0,,0,,,全,184681,,0000000000
105,台北市,松山區,北寧路,0,,,,0,,,0,,0,,,全,190591,,0000000000
104,台北市,中山區,四平街,0,,,,0,,,0,,0,,,全,197881,,0000000000
106,台北市,大安區,四維路,0,,,,0,,,0,,0,,,全,199531,,0000000000
110,台北市,信義區,市府路,0,,,,0,,,0,,0,,,全,201511,,0000000000
111,台北市,士林區,平菁街,0,,,,0,,,0,,0,,,全,206011,,0000000000
103,台北市,大同區,平陽街,0,,,,0,,,0,,0,,,全,206041,,0000000000
104,台北市,中山區,民生西路,6,1,,,0,,1,0,45,0,,,"單   1號至  45號",215161,,0001000000
104,台北市,中山區,民生西路,7,2,,,0,,2,0,68,0,,,"雙   2號至  68號",215161,,0002000000
103,台北市,大同區,民生西路,6,1,,,0,,47,0,9999,0,,,"單  47號以上",215161,,0047000000
103,台北市,大同區,民生西路,7,2,,,0,,70,0,9998,0,,,"雙  70號以上",215161,,0070000000
104,台北市,中山區,民生東路１段,0,,,,0,,,0,,0,,,全,215311,,0000000000
104,台北市,中山區,民生東路２段,0,,,,0,,,0,,0,,,全,215341,,0000000000
104,台北市,中山區,民生東路３段,6,1,,,0,,1,0,89,0,,,"單   1號至  89號",215371,,0001000000
104,台北市,中山區,民生東路３段,7,2,,,0,,2,0,98,0,,,"雙   2號至  98號",215371,,0002000000
105,台北市,松山區,民生東路３段,6,1,,,0,,91,0,9999,0,,,"單  91號以上",215371,,0091000000
105,台北市,松山區,民生東路３段,7,2,,,0,,100,0,9998,0,,,"雙 100號以上",215371,,0100000000
105,台北市,松山區,民生東路５段,0,,,,0,,,0,,0,,,全,215431,,0000000000
105,台北市,松山區,民生東路４段,0,,,,0,,,0,,0,,,全,215401,,0000000000
112,台北市,北投區,民安巷,0,,,,0,,,0,,0,,,全,xxxxxx,,0000000000
108,台北市,萬華區,民和街,0,,,,0,,,0,,0,,,全,218461,,0000000000
104,台北市,中山區,民族西路,6,1,,,0,,1,0,29,0,,,"單   1號至  29號",220471,,0001000000
104,台北市,中山區,民族西路,7,2,,,0,,2,0,30,0,,,"雙   2號至  30號",220471,,0002000000
103,台北市,大同區,民族西路,6,1,,,0,,31,0,9999,0,,,"單  31號以上",220471,,0031000000
103,台北市,大同區,民族西路,7,2,,,0,,32,0,9998,0,,,"雙  32號以上",220471,,0032000000
104,台北市,中山區,民族東路,6,1,,,0,,1,0,299,0,,,"單   1號至 299號",220501,,0001000000
104,台北市,中山區,民族東路,7,2,,,0,,2,0,588,0,,,"雙   2號至 588號",220501,,0002000000
105,台北市,松山區,民族東路,6,1,,,0,,301,0,9999,0,,,"單 301號以上",220501,,0301000000
105,台北市,松山區,民族東路,7,2,,,0,,590,0,9998,0,,,"雙 590號以上",220501,,0590000000
112,台北市,北投區,民族街,0,,,,0,,,0,,0,,,全,220651,,0000000000
103,台北市,大同區,民樂街,0,,,,0,,,0,,0,,,全,223741,,0000000000
104,台北市,中山區,民權西路,6,1,,,0,,1,0,81,0,,,"單   1號至  81號",224641,,0001000000
104,台北市,中山區,民權西路,7,2,,,0,,2,0,72,0,,,"雙   2號至  72號",224641,,0002000000
103,台北市,大同區,民權西路,7,2,,,0,,74,0,9998,0,,,"雙  74號以上",224641,,0074000000
103,台北市,大同區,民權西路,6,1,,,0,,83,0,9999,0,,,"單  83號以上",224641,,0083000000
104,台北市,中山區,民權東路１段,0,,,,0,,,0,,0,,,全,224731,,0000000000
104,台北市,中山區,民權東路２段,0,,,,0,,,0,,0,,,全,224761,,0000000000
104,台北市,中山區,民權東路３段,6,1,,,0,,1,0,89,0,,,"單   1號至  89號",224791,,0001000000
104,台北市,中山區,民權東路３段,7,2,,,0,,2,0,98,0,,,"雙   2號至  98號",224791,,0002000000
105,台北市,松山區,民權東路３段,6,1,,,0,,91,0,9999,0,,,"單  91號以上",224791,,0091000000
105,台北市,松山區,民權東路３段,7,2,,,0,,100,0,9998,0,,,"雙 100號以上",224791,,0100000000
105,台北市,松山區,民權東路５段,0,,,,0,,,0,,0,,,全,224851,,0000000000
114,台北市,內湖區,民權東路６段,0,,,,0,,,0,,0,,,全,224881,,0000000000
105,台北市,松山區,民權東路４段,0,,,,0,,,0,,0,,,全,224821,,0000000000
112,台北市,北投區,民權街,0,,,,0,,,0,,0,,,全,224971,,0000000000
111,台北市,士林區,永公路,0,,,,0,,,0,,0,,,全,226411,,0000000000
111,台北市,士林區,永平街,0,,,,0,,,0,,0,,,全,226501,,0000000000
110,台北市,信義區,永吉路,6,1,,,0,,1,0,529,0,,,"單   1號至 529號",227161,,0001000000
110,台北市,信義區,永吉路,7,2,,,0,,2,0,532,0,,,"雙   2號至 532號",227161,,0002000000
115,台北市,南港區,永吉路,6,1,,,0,,531,0,9999,0,,,"單 531號以上",227161,,0531000000
115,台北市,南港區,永吉路,7,2,,,0,,534,0,9998,0,,,"雙 534號以上",227161,,0534000000
116,台北市,文山區,永安街,0,,,,0,,,0,,0,,,全,227911,,0000000000
103,台北市,大同區,永昌街,0,,,,0,,,0,,0,,,全,230071,,0000000000
100,台北市,中正區,永春街,0,,,,0,,,0,,0,,,全,231361,,0000000000
106,台北市,大安區,永康街,0,,,,0,,,0,,0,,,全,232321,,0000000000
100,台北市,中正區,永綏街,0,,,,0,,,0,,0,,,全,234661,,0000000000
108,台北市,萬華區,永福街,0,,,,0,,,0,,0,,,全,235651,,0000000000
112,台北市,北投區,永興路１段,0,,,,0,,,0,,0,,,全,237001,,0000000000
112,台北市,北投區,永興路２段,0,,,,0,,,0,,0,,,全,237031,,0000000000
108,台北市,萬華區,汀州路１段,6,1,,,0,,1,0,19,0,,,"單   1號至  19號",237751,,0001000000
108,台北市,萬華區,汀州路１段,7,2,,,0,,2,0,20,0,,,"雙   2號至  20號",237751,,0002000000
100,台北市,中正區,汀州路１段,6,1,,,0,,21,0,9999,0,,,"單  21號以上",237751,,0021000000
100,台北市,中正區,汀州路１段,7,2,,,0,,22,0,9998,0,,,"雙  22號以上",237751,,0022000000
100,台北市,中正區,汀州路２段,0,,,,0,,,0,,0,,,全,237781,,0000000000
100,台北市,中正區,汀州路３段,0,,,,0,,,0,,0,,,全,237811,,0000000000
